Searching for double matches between wifi.json and lan.json
[5] {'id0': 1004212, 'id1': 55744, 'dist': 0.20557381391347196}
[6] {'id0': 60822, 'id1': 62226, 'dist': 0.22239016046719343}
[7] {'id0': 1002904, 'id1': 62730, 'dist': 0.22862844417789208}
[8] {'id0': 1003040, 'id1': 1003035, 'dist': 0.2377472804843163}
[9] {'id0': 13308, 'id1': 24645, 'dist': 0.2627948948061695}
[10] {'id0': 1005104, 'id1': 61071, 'dist': 0.30219068489327405}
[11] {'id0': 1000483, 'id1': 51715, 'dist': 0.3199787876299558}
[12] {'id0': 50180, 'id1': 55487, 'dist': 0.3335852407004365}
[13] {'id0': 50640, 'id1': 50639, 'dist': 0.451146562610199}
[14] {'id0': 15651, 'id1': 19461, 'dist': 0.6129906362443229}
[15] {'id0': 1004967, 'id1': 34601, 'dist': 0.6242683339903901}
[16] {'id0': 54028, 'id1': 22029, 'dist': 0.6265891931099812}
[17] {'id0': 1002318, 'id1': 15637, 'dist': 0.6455204636624059}
[18] {'id0': 23036, 'id1': 33018, 'dist': 0.7663500434391671}
[19] {'id0': 50612, 'id1': 21228, 'dist': 0.7819994793999931}
[20] {'id0': 1003774, 'id1': 15641, 'dist': 0.913280434676353}
[21] {'id0': 12279, 'id1': 35667, 'dist': 1.0007557221006023}
[22] {'id0': 55293, 'id1': 15831, 'dist': 1.0220712877176494}
[23] {'id0': 17151, 'id1': 53245, 'dist': 1.1458461837861171}
[24] {'id0': 50705, 'id1': 55456, 'dist': 1.25182437133982}
[25] {'id0': 24555, 'id1': 1000306, 'dist': 1.308890887632018}
[26] {'id0': 4788, 'id1': 1002686, 'dist': 1.4910959120061844}
[27] {'id0': 63015, 'id1': 31945, 'dist': 1.6611225481412497}
[28] {'id0': 14895, 'id1': 31945, 'dist': 1.87386613807248}
[29] {'id0': 2659, 'id1': 560, 'dist': 1.8804954005235615}
[30] {'id0': 1000568, 'id1': 2075, 'dist': 2.001511444204034}
[31] {'id0': 11824, 'id1': 54572, 'dist': 2.033370297881184}
[32] {'id0': 53236, 'id1': 2075, 'dist': 2.1179183849046166}
[33] {'id0': 1005126, 'id1': 54778, 'dist': 2.122703577076187}
