,Cellular,Lan,Dist,Lan Avg,Continent,Datacenter,Cellular Avg,Diff
0,1000503,1000505,0.111195080233243,16.55843597894842,EU,GOOGLE,27.880263385965275,11.321827407016855
1,1002075,33973,0.111195080233243,14.30355736841965,EU,GOOGLE,10.574021389474735,-3.7295359789449147
2,61321,2353,0.1295006554852492,49.980921921985455,EU,GOOGLE,39.95797552280737,-10.022946399178089
3,1004854,61376,0.132981162921137,20.587152850292632,EU,GOOGLE,55.906535438597906,35.319382588305274
4,60200,61071,0.204606227414801,45.91384549590561,EU,GOOGLE,28.715719028067376,-17.198126467838236
5,1004212,55744,0.2055738139134719,29.990995320467015,NA,GOOGLE,97.72183125788843,67.7308359374214
6,60822,62226,0.2223901604671934,69.82458208655194,NA,GOOGLE,69.02839818245788,-0.7961839040940646
7,1002904,62730,0.228628444177892,36.46151117193333,EU,GOOGLE,69.27384445263263,32.8123332806993
8,1003040,1003035,0.2377472804843163,47.301342365454175,NA,GOOGLE,84.47353197894316,37.17218961348898
9,13308,24645,0.2627948948061695,22.793081148538597,EU,GOOGLE,41.19826186316105,18.405180714622453
10,1005104,61071,0.302190684893274,45.91384549590561,EU,GOOGLE,28.715719028067376,-17.198126467838236
11,50180,55487,0.3335852407004365,33.157239785965615,NA,GOOGLE,125.01916891929893,91.86192913333332
12,50640,50639,0.451146562610199,14.569884190644913,EU,GOOGLE,35.5399947543821,20.970110563737187
13,15651,19461,0.6129906362443229,48.61424935446268,EU,GOOGLE,18.48787921754421,-30.126370136918467
14,1004967,34601,0.6242683339903901,22.65027109766351,EU,GOOGLE,19.67509822455684,-2.9751728731066684
15,54028,22029,0.6265891931099812,17.24552088187053,EU,GOOGLE,48.47839104561369,31.23287016374316
16,1002318,15637,0.6455204636624059,12.465009180117194,EU,GOOGLE,8.781087310866292,-3.683921869250902
17,23036,33018,0.7663500434391671,36.045258599997894,NA,GOOGLE,139.78928620176,103.74402760176211
18,50612,21228,0.7819994793999931,33.083923760925,EU,GOOGLE,39.88247519298421,6.798551432059206
19,12279,35667,1.0007557221006025,34.204025703298534,EU,GOOGLE,47.98720432967032,13.783178626371786
20,55293,15831,1.0220712877176494,19.75895641403263,EU,GOOGLE,55.31459231578841,35.55563590175578
21,17151,53245,1.1458461837861171,15.350368034502804,EU,GOOGLE,21.336781496493685,5.986413461990882
22,50705,55456,1.25182437133982,15.798591721053334,EU,GOOGLE,56.406011000000014,40.60741927894668
23,24555,1000306,1.308890887632018,1.690657738011579,EU,GOOGLE,27.089005014034736,25.398347276023156
24,63015,31945,1.6611225481412497,18.246697443274037,EU,GOOGLE,98.95626048772,80.70956304444596
25,14895,31945,1.87386613807248,18.246697443274037,EU,GOOGLE,98.95626048772,80.70956304444596
26,2659,560,1.8804954005235612,33.17670635915458,EU,GOOGLE,21.82609017542632,-11.35061618372826
27,4788,33512,2.003289909510072,106.49417712186307,OC,GOOGLE,109.44443338245156,2.950256260588489
28,11824,54572,2.033370297881184,34.665045099178165,EU,GOOGLE,37.36943825263158,2.7043931534534167
29,33318,55223,2.3041893114452185,44.89120839298,EU,GOOGLE,75.2658705789463,30.374662185966308
30,26705,33915,2.3103222829231203,21.38235606783684,EU,GOOGLE,19.71351356140105,-1.6688425064357908
31,62684,20374,2.368200881725105,9.595255306663999,AS,GOOGLE,6.929992417542104,-2.6652628891218946
32,21286,21274,2.393640014123047,21.764597094737542,EU,GOOGLE,27.217576245617888,5.452979150880346
33,50024,55223,2.4572760462540333,44.89120839298,EU,GOOGLE,75.2658705789463,30.374662185966308
34,16715,1004923,2.5267103045881245,18.954966837425967,EU,GOOGLE,38.49749101754421,19.542524180118246
35,55795,61071,2.558690951841053,45.91384549590561,EU,GOOGLE,28.715719028067376,-17.198126467838236
36,35445,35643,2.8343864817226088,29.811299910690565,EU,GOOGLE,62.26183363474786,32.450533724057294
37,35462,35643,2.9030402966040234,29.811299910690565,EU,GOOGLE,62.26183363474786,32.450533724057294
38,28477,55685,2.925694641265732,47.94561616023544,OC,GOOGLE,47.26470605965157,-0.6809101005838656
39,450,26175,3.272763902820789,37.56029724093895,EU,GOOGLE,74.37352611722089,36.81322887628194
40,1004094,16505,3.327381087042584,10.325786837425614,EU,GOOGLE,105.64752047670109,95.32173363927548
41,1002225,27273,3.4117254188128188,36.854688707604915,OC,GOOGLE,47.700782649119986,10.846093941515072
42,34612,60922,3.460219717631613,24.31449021988456,EU,GOOGLE,32.53371237894737,8.21922215906281
43,1000483,25698,3.83065939979531,26.18259726081649,EU,GOOGLE,16.301379677304254,-9.881217583512235
44,62047,13106,3.9247915682586494,20.025372223391578,EU,GOOGLE,40.80127128947264,20.77589906608106
45,54146,52512,3.945396391523214,86.76655855052195,EU,GOOGLE,88.74830087233616,1.9817423218142096
46,55018,50972,4.0303118981581685,41.28745593567123,NA,GOOGLE,65.49683743508947,24.209381499418242
47,3333,1003123,4.238893970131637,13.859961534503508,EU,GOOGLE,28.29438937992796,14.434427845424452
48,1005126,54778,4.435707543229247,50.733121353285206,AS,GOOGLE,69.81020984576718,19.07708849248197
49,3457,30940,4.49288661028848,7.081104160232281,AS,GOOGLE,7.2065255770494625,0.12542141681718189
50,55677,30746,4.761290946047829,21.997029745028424,EU,GOOGLE,41.25923762056596,19.262207875537538
51,17602,30306,4.791008764664073,15.399767615789473,AS,GOOGLE,65.85375705263368,50.45398943684421
52,55276,13358,4.861432366101245,16.341999194544485,EU,GOOGLE,37.69639956140527,21.354400366860787
53,1002683,50010,4.899378028059275,21.844061194150875,EU,GOOGLE,57.0914127456179,35.24735155146703
54,1002682,22036,5.0443218646789365,2.7069561614045616,OC,GOOGLE,29.189629712282102,26.48267355087754
55,1003774,29718,5.100551481386086,23.38894856491333,EU,GOOGLE,48.56756777777633,25.178619212863
56,33622,11210,5.15076925151418,22.40506636491439,EU,GOOGLE,22.463679771931584,0.05861340701719442
57,21782,1003349,5.388117729307869,22.93750033040807,EU,GOOGLE,64.48692787719156,41.54942754678349
58,28088,54876,5.532153201421567,25.03902501637439,EU,GOOGLE,54.05919292631685,29.020167909942458
59,34435,35695,6.241499277985741,33.956055036840354,EU,GOOGLE,77.94576837193051,43.98971333509016
60,16790,12938,6.351558184960683,52.1535403023393,NA,GOOGLE,96.99834642982104,44.84480612748174
61,1001615,35695,6.404175248938262,33.956055036840354,EU,GOOGLE,77.94576837193051,43.98971333509016
62,1002849,53709,6.477221018056776,17.691496142689125,EU,GOOGLE,91.04012320701788,73.34862706432875
63,30626,23635,6.517925297829809,40.747542555554745,EU,GOOGLE,39.96354793684105,-0.7839946187136917
64,31866,1000793,6.937451466364824,17.563933190306383,EU,GOOGLE,15.433835150877892,-2.130098039428491
65,28260,53441,7.496368076458098,14.12108731812667,EU,GOOGLE,10.30319965964737,-3.8178876584792985
66,1000879,55675,7.68327320610785,81.16116666431972,EU,GOOGLE,88.42691605613894,7.265749391819213
67,35385,34182,7.835118983676561,27.459235369593685,EU,GOOGLE,56.35658093684632,28.897345567252636
68,63070,10422,7.870571516004149,36.21017164444315,NA,GOOGLE,53.34201468771789,17.131843043274742
69,52413,55675,7.873133393106027,81.16116666431972,EU,GOOGLE,88.42691605613894,7.265749391819213
70,1004571,1313,8.245605127572723,18.315857573096842,EU,GOOGLE,28.303089159574473,9.98723158647763
71,26320,916,8.293414929600313,29.717876519432863,EU,GOOGLE,65.91456489122736,36.196688371794494
