,Wifi,Lan,Dist,Lan Avg,Continent,Datacenter,Wifi Avg,Diff
0,10001,1,0.0,15.078938306294596,EU,GOOGLE,13.048801747743243,-2.0301365585513533
1,3854,54205,0.1251638823522005,42.997786948949546,EU,GOOGLE,46.688992063062166,3.69120511411262
2,18956,10250,0.3335852407004365,17.59277827627207,EU,GOOGLE,16.981632481480556,-0.6111457947915149
3,11740,11251,0.6786435894235999,19.834182009008103,EU,GOOGLE,18.42058957657568,-1.4135924324324236
4,35154,52535,1.1140745606213087,11.618022282277478,EU,GOOGLE,9.821784882875676,-1.796237399401802
5,1001151,1000408,1.1348999435255838,15.84814337237387,EU,GOOGLE,21.6798973964,5.8317540240261305
6,32378,55705,1.3504275177864664,16.660872909912612,EU,GOOGLE,16.445959513513515,-0.21491339639909768
7,31811,28973,1.5275459197307244,8.535112306308108,EU,GOOGLE,10.679409531529728,2.144297225221621
8,21529,34019,1.8519765779886124,20.358332666669366,EU,GOOGLE,22.292554485708575,1.9342218190392089
9,1000559,1000801,1.9177668459037736,30.51885037537477,EU,GOOGLE,29.777608162156763,-0.7412422132180083
10,55404,1004629,1.9518879128279396,12.518316342341441,EU,GOOGLE,12.804534495489191,0.28621815314775034
11,1000261,1000276,2.025095070315846,16.029872276274777,EU,GOOGLE,20.457104860354058,4.427232584079281
12,35407,11968,2.194627200807402,41.32721035736036,EU,GOOGLE,31.244336576586477,-10.08287378077388
13,1001319,16227,2.8128954617895143,31.28637124024054,EU,GOOGLE,29.327218180178374,-1.9591530600621674
14,4430,25086,3.101475794510789,75.16562337237389,AS,GOOGLE,83.3633102972919,8.197686924918017
15,28357,32768,3.348883178247144,26.518024435437834,EU,GOOGLE,28.991287567570268,2.473263132132434
16,14723,3811,3.8249498880947055,43.970439846844144,EU,GOOGLE,47.6168000090054,3.6463601621612582
17,16601,1004747,3.9232490879941766,30.395716870873876,EU,GOOGLE,30.91195031531892,0.5162334444450423
18,1004628,2275,4.096983385656143,14.82010611710901,EU,GOOGLE,18.387707135132434,3.5676010180234243
19,23840,55499,4.361477159014822,50.64652452552342,NA,GOOGLE,47.56822637387838,-3.0782981516450363
20,54080,1001541,4.572250568926688,21.959677354356756,EU,GOOGLE,23.767617477475675,1.807940123118918
21,1002768,1002242,4.764201244748473,58.61950256756848,NA,GOOGLE,54.55055128828919,-4.06895127927929
22,32,1001360,5.654815203945811,67.80229360960902,NA,GOOGLE,82.51471852251893,14.71242491290991
23,1001514,55328,5.861710075459359,93.87973923573693,AS,GOOGLE,92.42450442342704,-1.4552348123098966
24,1000563,1000506,6.013123796147312,11.015883183184684,EU,GOOGLE,16.988391891889187,5.972508708704503
25,51025,60169,6.468308199400168,39.031102960960354,NA,GOOGLE,42.64847264864325,3.6173696876828956
26,27119,10497,6.514599794449011,80.55877818168108,EU,GOOGLE,67.38250937837839,-13.17626880330269
